Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for UK
Areal series, starting in 1891
Last updated 01-May-2020 15:15
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1933   12.6   14.5   12.7   10.2   12.5   10.5   13.1   10.3    7.5   15.3   10.4    7.5    40.1    35.4    33.9    33.2   137.1
1934   16.2    4.3   15.9   15.5   10.9    9.1   10.8   15.6   15.2   18.4   10.3   23.0    28.0    42.2    35.6    43.9   165.3
1935   11.0   16.4    8.9   16.4    6.3   17.9    8.1    9.9   18.3   20.2   19.5   15.8    50.4    31.6    35.9    58.1   168.7
1936   19.3   13.1   13.0   10.0    7.7   12.6   20.7    9.6   13.6   13.3   15.4   17.1    48.2    30.7    42.9    42.3   165.4
1937   20.0   19.7   15.1   12.9   11.1   10.6   12.0    8.7   13.1   10.9    9.1   15.0    56.8    39.1    31.4    33.1   158.4
1938   20.1    9.2    8.6    3.3   13.6   13.3   15.6   13.2   13.9   19.8   18.7   18.1    44.4    25.5    42.1    52.4   167.3
1939   19.1   13.9   14.9   12.6    7.1   11.2   19.2   11.2    7.4   15.0   21.1   10.7    51.1    34.5    41.7    43.5   163.4
1940   10.0   12.3   14.8   13.5    9.2    5.8   18.3    7.9   11.7   14.8   19.3   15.1    33.0    37.5    32.1    45.8   152.8
1941   12.8   16.7   12.3    9.8   10.5    5.6   12.8   19.9    5.6   14.2   15.8   11.7    44.6    32.6    38.3    35.6   147.6
1942   16.4    7.8   11.5    8.6   13.4    5.5   14.7   15.8   15.0   17.0    8.1   19.0    35.8    33.4    35.9    40.1   152.6
1943   20.2   12.0    7.8   11.6   12.3   13.6   10.8   17.8   14.6   14.7   16.3   10.3    51.2    31.8    42.1    45.5   161.8
1944   16.3   10.7    6.5   10.9    9.6   13.9   12.6   11.3   14.9   17.7   21.0   15.0    37.3    27.0    37.8    53.7   160.6
