England_S Raindays>=1.0mm
Areal series, starting from 1961
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 12/04/2019.

     JAN  Year     FEB  Year     MAR  Year     APR  Year     MAY  Year     JUN  Year     JUL  Year     AUG  Year    SEP   Year     OCT  Year     NOV  Year     DEC  Year     WIN  Year     SPR  Year     SUM  Year     AUT  Year     ANN  Year
    14.9  1965    10.4  1979    11.9  1995    11.3  1992    10.2  1993     9.2  2003     9.0  1991    10.6  1967     9.8  2016    11.6  1994    12.4  1966    13.3  1972    36.0  1969    32.5  1964    28.5  2014    34.8  2004   126.7  1992
    14.7  1978    10.2  1967    11.5  2017    11.0  1968    10.1  1987     9.2  1993     9.0  1986    10.5  1966     9.5  2006    11.5  1993    11.9  2013    13.3  1967    35.9  1972    32.3  2014    28.0  2016    34.7  1970   126.6  2007
    13.9  2002    10.0  1999    11.2  1999    10.9  1962    10.0  1964     8.0  1989     8.9  1968    10.4  2011     9.5  2005    11.3  1968    11.9  1972    13.1  2003    35.7  2003    32.2  1992    28.0  1993    34.5  1996   126.6  1988
    13.9  1979     9.8  1984    11.1  2004    10.7  1985     9.7  1977     7.9  2014     8.9  1962    10.4  1969     9.4  2013    11.2  2008    11.8  1998    13.1  1983    35.6  1986    32.0  1978    27.6  1999    33.9  1999   126.1  1978
    13.3  2013     9.6  1988    11.0  1991    10.7  1978     9.5  2017     7.9  2005     8.7  1998     9.9  1978     9.3  2011    11.0  1992    11.8  1962    12.9  1977    34.5  1982    31.9  2004    27.5  2002    33.8  2010   126.0  1993
    12.8  1998     9.3  2015    10.9  1998    10.3  1977     9.4  1976     7.7  2013     8.6  1963     9.7  2018     9.3  1973    11.0  1988    11.7  2018    12.8  1989    34.5  1975    31.8  1987    27.2  1977    33.3  1980   125.9  1972
    12.5  2009     9.2  2005    10.6  2016    10.0  1973     9.2  1984     7.4  2017     8.4  2005     9.6  1996     9.1  1970    10.8  2010    11.7  1991    12.8  1964    34.2  2015    31.8  1968    27.1  2010    33.2  2017   125.8  1980
    12.5  1983     9.1  2006    10.6  1964     9.9  1991     9.1  1985     7.4  2008     8.3  1975     9.6  1994     9.0  2004    10.7  1983    11.4  1975    12.8  1961    34.0  1962    31.6  1999    26.4  2001    32.7  1965   125.4  1984
    12.4  2003     9.0  1987    10.2  2010     9.6  2014     9.0  2016     7.4  1979     8.1  1997     9.4  1988     9.0  1963    10.7  1979    11.3  1971    12.6  1976    33.4  1996    31.2  1962    26.3  1986    32.4  1993   124.9  1983
    12.3  1982     8.9  2018    10.0  1971     9.4  1987     8.9  2012     7.4  1969     8.1  1961     9.2  2000     8.4  2015    10.6  2009    11.2  2016    12.1  1990    32.8  1991    30.7  1989    26.3  1970    32.3  2005   124.8  2017
    12.1  2010     8.8  1982    10.0  1969     8.9  1990     8.9  2008     7.0  2004     8.0  2010     8.7  1970     8.4  1980    10.1  1977    10.9  1995    11.9  1995    32.5  1971    30.6  2002    25.0  1972    31.8  1995   124.8  2006
    12.1  1991     8.6  2019     9.9  2013     8.8  1969     8.6  1996     6.8  2009     7.9  1981     8.5  2009     8.2  2012     9.9  1963    10.9  1985    11.8  1980    32.5  1968    28.8  2005    24.8  1964    30.0  1986   124.7  1985
    11.8  1968     8.6  1991     9.3  1984     8.8  1967     8.4  2009     6.5  1988     7.5  1996     8.5  1980     8.2  1991     9.6  1999    10.9  1980    11.5  1973    32.1  2008    28.5  1973    24.6  2005    29.8  1990   124.4  2013
    11.7  1985     8.4  2009     9.0  1968     8.6  2009     8.4  2005     6.5  1970     7.5  1972     8.3  2005     8.0  1988     9.2  1964    10.7  1990    11.2  1982    32.0  1983    28.1  2013    24.5  2000    29.7  1962   124.3  1961
    11.5  1967     8.3  2004     8.9  2007     8.3  2006     8.4  1971     6.3  2000     7.3  2014     8.1  1987     7.5  1990     9.1  2011    10.5  2017    10.7  2007    31.8  2019    26.9  1993    24.5  1961    29.5  1977   123.3  1987
    11.4  2001     8.3  1983     8.8  2005     8.0  2002     8.3  1999     6.2  1981     7.3  1967     8.0  2007     7.0  2018     9.1  1991    10.4  1994    10.7  1974    31.7  1965    26.9  1982    23.4  2006    29.2  1983   121.9  2016
    11.2  2011     7.7  1973     8.8  2002     7.4  1988     8.3  1982     6.1  1984     7.0  1964     7.9  2013     6.7  1978     8.9  2015    10.3  1968    10.7  1962    31.1  2012    26.2  2015    23.3  1962    29.1  1979   121.4  1969
    10.9  1981     7.6  1992     8.6  2014     7.2  2003     7.9  1974     5.8  2015     6.9  2006     7.8  2016     6.5  2007     8.8  2003    10.2  2001     9.9  1970    30.9  2011    24.9  2017    23.0  1969    29.0  1991   120.0  2018
    10.9  1966     7.5  1976     8.6  1974     7.1  1981     7.7  2004     5.8  2010     6.4  1994     7.4  2002     6.4  1966     8.2  1973    10.2  1967     9.7  2014    30.8  1985    24.8  2007    22.6  1979    28.9  1975   118.3  2010
    10.8  2017     7.4  1968     8.3  2015     6.9  2013     7.5  2018     5.7  1994     6.1  2013     7.1  1964     5.9  1989     8.1  2018    10.2  1961     9.7  1968    30.3  1998    24.4  2009    22.2  2003    28.8  1997   116.6  1997
    10.7  2012     7.3  1964     8.3  1996     6.3  1996     7.0  1975     5.7  1992     6.0  2016     7.0  1984     5.8  1977     7.8  1970    10.0  1987     9.4  1992    30.3  1987    24.3  1991    22.2  1990    27.2  2016   116.1  1962
    10.2  2005     7.2  1981     8.2  1967     6.1  2015     6.9  1995     5.7  1986     5.7  1995     6.9  1975     5.5  1979     7.7  1997     9.8  1981     7.9  2005    30.0  1981    24.2  1980    22.1  1967    26.9  2018   114.8  1995
