Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,WIN,SPR,SUM,AUT,ANN
1983,18.1,8.9,17.1,15.3,17.2,8.4,5.6,5.9,15.5,16.6,7.8,17.1,42.9,49.6,19.9,39.9,153.5
1984,20.9,11.9,10.9,5.5,7.5,8.5,6.7,7.9,16.5,16.9,18,16.8,49.9,23.9,23.1,51.4,148.1
1985,12.9,5.4,14.3,14.4,10.3,14.4,14.7,20.1,11.8,7.6,13.8,17.9,35.1,39,49.2,33.1,157.5
1986,19.4,4.5,16.6,14.2,17.2,7.4,11.5,13.7,5.8,15,18,20.4,41.8,48,32.5,38.8,163.6
1987,8,10.5,15.2,9.8,11,15.9,12,11.1,13.5,17.4,12.6,11.3,38.8,36,39.1,43.5,148.3
1988,21,13.8,18.5,9.2,10.7,6.3,19.9,14.8,12.1,14.4,9.3,11.9,46,38.3,41,35.8,161.8
1989,12.3,15.9,17.1,13.6,6.1,9.3,6.4,12.8,8.6,16.5,9,11.9,40,36.9,28.5,34.1,139.5
1990,20.7,19.5,10.8,11.5,6.4,14.5,7.9,10.9,11,15.6,12.3,15.1,52.2,28.7,33.3,39,156.2
1991,13.6,10.5,13.6,11.4,5.4,17.5,11.2,7.7,10.3,12.3,16.1,9.2,39.1,30.4,36.4,38.7,138.7
1992,7.7,12.9,18.6,14.9,8.8,6.3,12.8,17.9,15.7,13,20.2,12.2,29.7,42.4,37.1,48.9,161.1
1993,20.4,6.3,9,14,12.2,10.5,14.9,10.3,12.5,11.7,9.7,21.8,38.9,35.1,35.6,33.9,153.1
1994,20.1,12.5,19.4,14.7,8.9,10.7,9,11.4,14.3,13.4,14.4,18.7,54.4,43,31.1,42,167.5
1995,19.9,18.7,16.2,7.8,10.9,6.5,9.1,4.7,15.3,12.8,12.7,11,57.3,34.9,20.3,40.8,145.6
1996,11.4,14.1,8.4,11.4,11.2,7.7,9.6,11.1,6.6,17.9,17.6,9.7,36.5,30.9,28.4,42.1,136.6
1997,6,17.9,10.7,6.5,12.4,15,11.1,11.4,8.8,10,17.1,16.2,33.7,29.6,37.5,35.9,143.2
1998,15.7,9.9,13.6,18.5,7.7,16.7,13.9,10.8,12.5,19.4,16.1,18,41.8,39.8,41.4,48,172.9
1999,19.5,13.7,13.9,13.5,11.5,13.2,7.5,12.2,15.8,12.7,12.9,21.3,51.2,39,32.8,41.4,167.7
2000,12.2,18.7,10,16.6,12.3,10,8.9,12.9,15.6,20.6,20.7,17.1,52.2,38.9,31.8,56.9,175.7
2001,11.8,13.3,14,15.5,7.4,9.4,11.2,14.1,13.4,18.8,14.4,11.2,42.2,37,34.7,46.7,154.6
2002,16.3,19.5,11.9,10.4,15.6,14,13.8,9.9,5.5,16.3,20.1,15,47,37.9,37.7,41.9,168.3
2003,15.6,7.9,7.9,8.4,16.4,11.2,12.2,5,9.1,10.6,15.6,14.3,38.5,32.6,28.4,35.3,134.2
